title,GMTED1km,GMTED5km,GMTED10km,GMTED50km,GMTED100km,Sources Layers,Sources Layers,SRTM1km,SRTM5km,SRTM10km,SRTM50km,SRTM100km
 Elevation - Median,elevation_1KMmd_GMTEDmd,elevation_5KMmd_GMTEDmd,elevation_10KMmd_GMTEDmd,elevation_50KMmd_GMTEDmd,elevation_100KMmd_GMTEDmd,GMTED,SRTM,elevation_1KMmd_SRTM,elevation_5KMmd_SRTM,elevation_10KMmd_SRTM,elevation_50KMmd_SRTM,elevation_100KMmd_SRTM
 Elevation – Mean,elevation_1KMmn_GMTEDmn,elevation_5KMmn_GMTEDmn,elevation_10KMmn_GMTEDmn,elevation_50KMmn_GMTEDmn,elevation_100KMmn_GMTEDmn,GMTED,SRTM,elevation_1KMmn_SRTM,elevation_5KMmn_SRTM,elevation_10KMmn_SRTM,elevation_50KMmn_SRTM,elevation_100KMmn_SRTM
 Elevation – Minimum,elevation_1KMmi_GMTEDmi,elevation_5KMmi_GMTEDmi,elevation_10KMmi_GMTEDmi,elevation_50KMmi_GMTEDmi,elevation_100KMmi_GMTEDmi,GMTED,SRTM,elevation_1KMmi_SRTM,elevation_5KMmi_SRTM,elevation_10KMmi_SRTM,elevation_50KMmi_SRTM,elevation_100KMmi_SRTM
 Elevation – Maximum,elevation_1KMma_GMTEDma,elevation_5KMma_GMTEDma,elevation_10KMma_GMTEDma,elevation_50KMma_GMTEDma,elevation_100KMma_GMTEDma,GMTED,SRTM,elevation_1KMma_SRTM,elevation_5KMma_SRTM,elevation_10KMma_SRTM,elevation_50KMma_SRTM,elevation_100KMma_SRTM
 Elevation - Standard deviation of the median,elevation_1KMsd_GMTEDmd,elevation_5KMsd_GMTEDmd,elevation_10KMsd_GMTEDmd,elevation_50KMsd_GMTEDmd,elevation_100KMsd_GMTEDmd,GMTED,SRTM,elevation_1KMsd_SRTM,elevation_5KMsd_SRTM,elevation_10KMsd_SRTM,elevation_50KMsd_SRTM,elevation_100KMsd_SRTM
 Elevation - Standard deviation of the mean,elevation_1KMsd_GMTEDmn,elevation_5KMsd_GMTEDmn,elevation_10KMsd_GMTEDmn,elevation_50KMsd_GMTEDmn,elevation_100KMsd_GMTEDmn,GMTED,SRTM,,,,,
 Elevation - Pooled standard deviation,elevation_1KMpsd_GMTEDsd,elevation_5KMpsd_GMTEDsd,elevation_10KMpsd_GMTEDsd,elevation_50KMpsd_GMTEDsd,elevation_100KMpsd_GMTEDsd,GMTED,,,,,,
 Elevation - Standard deviation of the standard deviation ,elevation_1KMsd_GMTEDsd,elevation_5KMsd_GMTEDsd,elevation_10KMsd_GMTEDsd,elevation_50KMsd_GMTEDsd,elevation_100KMsd_GMTEDsd,GMTED,,,,,,
 Slope - Median,slope_1KMmd_GMTEDmd,slope_5KMmd_GMTEDmd,slope_10KMmd_GMTEDmd,slope_50KMmd_GMTEDmd,slope_100KMmd_GMTEDmd,GMTED,SRTM,slope_1KMmd_SRTM,slope_5KMmd_SRTM,slope_10KMmd_SRTM,slope_50KMmd_SRTM,slope_100KMmd_SRTM
 Slope – Mean,slope_1KMmn_GMTEDmd,slope_5KMmn_GMTEDmd,slope_10KMmn_GMTEDmd,slope_50KMmn_GMTEDmd,slope_100KMmn_GMTEDmd,GMTED,SRTM,slope_1KMmn_SRTM,slope_5KMmn_SRTM,slope_10KMmn_SRTM,slope_50KMmn_SRTM,slope_100KMmn_SRTM
 Slope – Minimum ,slope_1KMmi_GMTEDmd,slope_5KMmi_GMTEDmd,slope_10KMmi_GMTEDmd,slope_50KMmi_GMTEDmd,slope_100KMmi_GMTEDmd,GMTED,SRTM,slope_1KMmi_SRTM,slope_5KMmi_SRTM,slope_10KMmi_SRTM,slope_50KMmi_SRTM,slope_100KMmi_SRTM
 Slope - Maximum    ,slope_1KMma_GMTEDmd,slope_5KMma_GMTEDmd,slope_10KMma_GMTEDmd,slope_50KMma_GMTEDmd,slope_100KMma_GMTEDmd,GMTED,SRTM,slope_1KMma_SRTM,slope_5KMma_SRTM,slope_10KMma_SRTM,slope_50KMma_SRTM,slope_100KMma_SRTM
 Slope - Standard deviation     ,slope_1KMsd_GMTEDmd,slope_5KMsd_GMTEDmd,slope_10KMsd_GMTEDmd,slope_50KMsd_GMTEDmd,slope_100KMsd_GMTEDmd,GMTED,SRTM,slope_1KMsd_SRTM,slope_5KMsd_SRTM,slope_10KMsd_SRTM,slope_50KMsd_SRTM,slope_100KMsd_SRTM
 Aspect Cosine - Median,aspectcosine_1KMmd_GMTEDmd,aspectcosine_5KMmd_GMTEDmd,aspectcosine_10KMmd_GMTEDmd,aspectcosine_50KMmd_GMTEDmd,aspectcosine_100KMmd_GMTEDmd,GMTED,SRTM,aspectcosine_1KMmd_SRTM,aspectcosine_5KMmd_SRTM,aspectcosine_10KMmd_SRTM,aspectcosine_50KMmd_SRTM,aspectcosine_100KMmd_SRTM
 Aspect Cosine – Mean,aspectcosine_1KMmn_GMTEDmd,aspectcosine_5KMmn_GMTEDmd,aspectcosine_10KMmn_GMTEDmd,aspectcosine_50KMmn_GMTEDmd,aspectcosine_100KMmn_GMTEDmd,GMTED,SRTM,aspectcosine_1KMmn_SRTM,aspectcosine_5KMmn_SRTM,aspectcosine_10KMmn_SRTM,aspectcosine_50KMmn_SRTM,aspectcosine_100KMmn_SRTM
 Aspect Cosine – Minimum,aspectcosine_1KMmi_GMTEDmd,aspectcosine_5KMmi_GMTEDmd,aspectcosine_10KMmi_GMTEDmd,aspectcosine_50KMmi_GMTEDmd,aspectcosine_100KMmi_GMTEDmd,GMTED,SRTM,aspectcosine_1KMmi_SRTM,aspectcosine_5KMmi_SRTM,aspectcosine_10KMmi_SRTM,aspectcosine_50KMmi_SRTM,aspectcosine_100KMmi_SRTM
 Aspect Cosine – Maximum,aspectcosine_1KMma_GMTEDmd,aspectcosine_5KMma_GMTEDmd,aspectcosine_10KMma_GMTEDmd,aspectcosine_50KMma_GMTEDmd,aspectcosine_100KMma_GMTEDmd,GMTED,SRTM,aspectcosine_1KMma_SRTM,aspectcosine_5KMma_SRTM,aspectcosine_10KMma_SRTM,aspectcosine_50KMma_SRTM,aspectcosine_100KMma_SRTM
 Aspect Cosine - Standard deviation,aspectcosine_1KMsd_GMTEDmd,aspectcosine_5KMsd_GMTEDmd,aspectcosine_10KMsd_GMTEDmd,aspectcosine_50KMsd_GMTEDmd,aspectcosine_100KMsd_GMTEDmd,GMTED,SRTM,aspectcosine_1KMsd_SRTM,aspectcosine_5KMsd_SRTM,aspectcosine_10KMsd_SRTM,aspectcosine_50KMsd_SRTM,aspectcosine_100KMsd_SRTM
 Aspect Sine - Median,aspectsine_1KMmd_GMTEDmd,aspectsine_5KMmd_GMTEDmd,aspectsine_10KMmd_GMTEDmd,aspectsine_50KMmd_GMTEDmd,aspectsine_100KMmd_GMTEDmd,GMTED,SRTM,aspectsine_1KMmd_SRTM,aspectsine_5KMmd_SRTM,aspectsine_10KMmd_SRTM,aspectsine_50KMmd_SRTM,aspectsine_100KMmd_SRTM
 Aspect Sine – Mean,aspectsine_1KMmn_GMTEDmd,aspectsine_5KMmn_GMTEDmd,aspectsine_10KMmn_GMTEDmd,aspectsine_50KMmn_GMTEDmd,aspectsine_100KMmn_GMTEDmd,GMTED,SRTM,aspectsine_1KMmn_SRTM,aspectsine_5KMmn_SRTM,aspectsine_10KMmn_SRTM,aspectsine_50KMmn_SRTM,aspectsine_100KMmn_SRTM
 Aspect Sine – Minimum,aspectsine_1KMmi_GMTEDmd,aspectsine_5KMmi_GMTEDmd,aspectsine_10KMmi_GMTEDmd,aspectsine_50KMmi_GMTEDmd,aspectsine_100KMmi_GMTEDmd,GMTED,SRTM,aspectsine_1KMmi_SRTM,aspectsine_5KMmi_SRTM,aspectsine_10KMmi_SRTM,aspectsine_50KMmi_SRTM,aspectsine_100KMmi_SRTM
 Aspect Sine – Maximum,aspectsine_1KMma_GMTEDmd,aspectsine_5KMma_GMTEDmd,aspectsine_10KMma_GMTEDmd,aspectsine_50KMma_GMTEDmd,aspectsine_100KMma_GMTEDmd,GMTED,SRTM,aspectsine_1KMma_SRTM,aspectsine_5KMma_SRTM,aspectsine_10KMma_SRTM,aspectsine_50KMma_SRTM,aspectsine_100KMma_SRTM
 Aspect Sine - Standard deviation,aspectsine_1KMsd_GMTEDmd,aspectsine_5KMsd_GMTEDmd,aspectsine_10KMsd_GMTEDmd,aspectsine_50KMsd_GMTEDmd,aspectsine_100KMsd_GMTEDmd,GMTED,SRTM,aspectsine_1KMsd_SRTM,aspectsine_5KMsd_SRTM,aspectsine_10KMsd_SRTM,aspectsine_50KMsd_SRTM,aspectsine_100KMsd_SRTM
 Aspect Eastness - Median,eastness_1KMmd_GMTEDmd,eastness_5KMmd_GMTEDmd,eastness_10KMmd_GMTEDmd,eastness_50KMmd_GMTEDmd,eastness_100KMmd_GMTEDmd,GMTED,SRTM,eastness_1KMmd_SRTM,eastness_5KMmd_SRTM,eastness_10KMmd_SRTM,eastness_50KMmd_SRTM,eastness_100KMmd_SRTM
 Aspect Eastness – Mean,eastness_1KMmn_GMTEDmd,eastness_5KMmn_GMTEDmd,eastness_10KMmn_GMTEDmd,eastness_50KMmn_GMTEDmd,eastness_100KMmn_GMTEDmd,GMTED,SRTM,eastness_1KMmn_SRTM,eastness_5KMmn_SRTM,eastness_10KMmn_SRTM,eastness_50KMmn_SRTM,eastness_100KMmn_SRTM
