title,filename1km,filename5km,filename10km,filename50km,filename100km
 Elevation - Median,elevation_1KMmd_GMTEDmd,elevation_5KMmd_GMTEDmd,elevation_10KMmd_GMTEDmd,elevation_50KMmd_GMTEDmd,elevation_100KMmd_GMTEDmd
 Elevation - Standard deviation,elevation_1KMsd_GMTEDmd,elevation_5KMsd_GMTEDmd,elevation_10KMsd_GMTEDmd,elevation_50KMsd_GMTEDmd,elevation_100KMsd_GMTEDmd
 Elevation - Pooled standard deviation,elevation_1KMpsd_GMTEDsd,elevation_5KMpsd_GMTEDsd,elevation_10KMpsd_GMTEDsd,elevation_50KMpsd_GMTEDsd,elevation_100KMpsd_GMTEDsd
 Elevation - Standard deviation of the standard deviation ,elevation_1KMsd_GMTEDsd,elevation_5KMsd_GMTEDsd,elevation_10KMsd_GMTEDsd,elevation_50KMsd_GMTEDsd,elevation_100KMsd_GMTEDsd
 Slope - Median,slope_1KMmd_GMTEDmd,slope_5KMmd_GMTEDmd,slope_10KMmd_GMTEDmd,slope_50KMmd_GMTEDmd,slope_100KMmd_GMTEDmd
 Slope - Standard deviation     ,slope_1KMsd_GMTEDmd,slope_5KMsd_GMTEDmd,slope_10KMsd_GMTEDmd,slope_50KMsd_GMTEDmd,slope_100KMsd_GMTEDmd
 Aspect Cosine - Median,aspectcosine_1KMmd_GMTEDmd,aspectcosine_5KMmd_GMTEDmd,aspectcosine_10KMmd_GMTEDmd,aspectcosine_50KMmd_GMTEDmd,aspectcosine_100KMmd_GMTEDmd
 Aspect Cosine - Standard deviation,aspectcosine_1KMsd_GMTEDmd,aspectcosine_5KMsd_GMTEDmd,aspectcosine_10KMsd_GMTEDmd,aspectcosine_50KMsd_GMTEDmd,aspectcosine_100KMsd_GMTEDmd
 Aspect Sine - Median,aspectsine_1KMmd_GMTEDmd,aspectsine_5KMmd_GMTEDmd,aspectsine_10KMmd_GMTEDmd,aspectsine_50KMmd_GMTEDmd,aspectsine_100KMmd_GMTEDmd
 Aspect Sine - Standard deviation,aspectsine_1KMsd_GMTEDmd,aspectsine_5KMsd_GMTEDmd,aspectsine_10KMsd_GMTEDmd,aspectsine_50KMsd_GMTEDmd,aspectsine_100KMsd_GMTEDmd
 Eastness - Median,eastness_1KMmd_GMTEDmd,eastness_5KMmd_GMTEDmd,eastness_10KMmd_GMTEDmd,eastness_50KMmd_GMTEDmd,eastness_100KMmd_GMTEDmd
 Eastness - Standard deviation,eastness_1KMsd_GMTEDmd,eastness_5KMsd_GMTEDmd,eastness_10KMsd_GMTEDmd,eastness_50KMsd_GMTEDmd,eastness_100KMsd_GMTEDmd
